date,campaign_id,campaign_name,channel,source_medium,ad_group,creative_type,device,region,audience_segment,landing_page,funnel_stage,impressions,clicks,sessions,conversions,conversion_rate,cost_krw,revenue_krw,avg_order_value_krw,roas,bounce_rate,cart_adds,checkout_starts,signups,email_opt_ins,coupon_uses,returning_user_rate,quality_score,experiment_group
2026-01-11,CMP-2026-001,Spring_CVR_Boost,Paid_Search,naver_cpc,Brand_Terms,Product_Feed,Mobile,Seoul,New_Prospects,/promo/spring,Awareness,5570,181,155,11,7.1%,170140,443410,40310,2.61,51.46%,19,12,11,4,3,62%,6,Control
2026-01-12,CMP-2026-002,Remarketing_Checkout,Organic_Search,google_organic,Lookalike_1pct,Newsletter,Desktop,Daegu,High_Intent,/checkout,Consideration,5987,150,132,7,5.3%,106050,295687,42241,2.79,55.68%,15,11,10,4,2,13%,6,Control
2026-01-13,CMP-2026-003,Search_Brand_Core,Affiliate,partner_affiliate,New_Visitors,Native_Article,Tablet,Gwangju,Price_Sensitive,/blog/cvr-guide,Conversion,6404,183,166,12,7.23%,132492,530064,44172,4,54.68%,23,12,12,6,2,18%,7,Variant_A
2026-01-14,CMP-2026-004,Social_Video_Launch,Paid_Search,google_cpc,Retargeting_7d,Static_Image,Mobile,Gangwon,Dormant_Users,/pricing,Retention,6821,293,272,19,6.99%,290363,875957,46103,3.02,56.71%,37,21,19,11,4,37%,7,Variant_A
2026-01-15,CMP-2026-005,Email_Nurture_Series,Paid_Social,kakao_paid,Cart_Abandoners,Short_Video,Desktop,Busan,Returning_Visitors,/promo/spring,Awareness,7238,257,200,10,5%,225646,480340,48034,2.13,61.2%,25,16,11,9,3,28%,5,Variant_A
2026-01-16,CMP-2026-006,Affiliate_Review_Push,Display,programmatic_cpm,Loyalty_Members,Carousel,Tablet,Daejeon,Cart_Abandoners,/checkout,Consideration,7655,299,241,14,5.81%,231725,699510,49965,3.02,61.77%,27,19,15,6,5,33%,6,Variant_B
2026-01-17,CMP-2026-007,Display_Prospecting,Direct,brand_direct,Competitor_Terms,Text_Search,Mobile,Jeju,VIP_Customers,/blog/cvr-guide,Conversion,8072,343,285,21,7.37%,271656,1089816,51896,4.01,47.68%,38,21,21,8,4,38%,7,Variant_B
2026-01-18,CMP-2026-008,Loyalty_Winback,Paid_Social,meta_paid,Nonbrand_Generic,Product_Feed,Desktop,Gyeonggi,New_Prospects,/pricing,Retention,8489,390,333,25,7.51%,362310,1345675,53827,3.71,49.19%,46,27,25,11,6,43%,8,Variant_B
2026-01-19,CMP-2026-009,Product_Demo_Trial,Email,newsletter_email,Product_Viewers,Native_Article,Tablet,Incheon,High_Intent,/promo/spring,Awareness,8906,223,196,14,7.14%,184198,780612,55758,4.24,51.4%,27,17,14,8,4,48%,7,Control
2026-01-20,CMP-2026-010,Weekend_Flash_Sale,Referral,review_blog_referral,Promo_Seekers,Static_Image,Mobile,Ulsan,Price_Sensitive,/checkout,Consideration,9323,200,181,12,6.63%,168600,692268,57689,4.11,53.82%,25,18,12,8,4,53%,7,Control
2026-01-21,CMP-2026-001,Spring_CVR_Boost,Paid_Social,meta_paid,Brand_Terms,Short_Video,Tablet,Seoul,Dormant_Users,/checkout,Awareness,6940,173,161,10,6.21%,169540,446200,44620,2.63,56.11%,19,10,10,4,2,72%,6,Control
2026-01-22,CMP-2026-002,Remarketing_Checkout,Email,newsletter_email,Lookalike_1pct,Carousel,Mobile,Daegu,Returning_Visitors,/blog/cvr-guide,Consideration,7357,261,204,17,8.33%,228897,791367,46551,3.46,54.84%,29,17,17,6,4,63%,8,Variant_A
2026-01-23,CMP-2026-003,Search_Brand_Core,Referral,review_blog_referral,New_Visitors,Text_Search,Desktop,Gwangju,Cart_Abandoners,/pricing,Conversion,7774,249,200,14,7%,222606,678748,48482,3.05,58.4%,27,17,14,7,4,14%,7,Variant_A
2026-01-24,CMP-2026-004,Social_Video_Launch,Paid_Search,naver_cpc,Retargeting_7d,Product_Feed,Tablet,Gangwon,VIP_Customers,/promo/spring,Retention,8191,381,316,22,6.96%,442341,1109086,50413,2.51,60.16%,43,30,24,12,7,19%,5,Variant_A
2026-01-25,CMP-2026-005,Email_Nurture_Series,Organic_Search,google_organic,Cart_Abandoners,Newsletter,Mobile,Busan,New_Prospects,/checkout,Awareness,8608,336,287,12,4.18%,311808,628128,52344,2.01,52.15%,33,17,13,13,2,24%,6,Variant_B
2026-01-26,CMP-2026-006,Affiliate_Review_Push,Affiliate,partner_affiliate,Loyalty_Members,Native_Article,Desktop,Daejeon,High_Intent,/blog/cvr-guide,Conversion,9025,384,338,28,8.28%,362880,1519700,54275,4.19,48.11%,47,28,28,8,6,29%,8,Variant_B
2026-01-27,CMP-2026-007,Display_Prospecting,Paid_Search,google_cpc,Competitor_Terms,Static_Image,Tablet,Jeju,Price_Sensitive,/pricing,Retention,9442,538,487,37,7.6%,652056,2079622,56206,3.19,50.76%,66,42,37,14,10,34%,8,Variant_B
2026-01-28,CMP-2026-008,Loyalty_Winback,Paid_Social,kakao_paid,Nonbrand_Generic,Carousel,Mobile,Gyeonggi,Dormant_Users,/promo/spring,Awareness,9859,177,165,8,4.85%,194523,465096,58137,2.39,56.31%,18,13,10,6,3,53%,6,Control
2026-01-29,CMP-2026-009,Product_Demo_Trial,Display,programmatic_cpm,Product_Viewers,Text_Search,Desktop,Incheon,Returning_Visitors,/checkout,Consideration,10276,221,172,12,6.98%,220116,720816,60068,3.27,55.03%,23,12,12,7,2,44%,7,Control
2026-01-30,CMP-2026-010,Weekend_Flash_Sale,Direct,brand_direct,Promo_Seekers,Product_Feed,Tablet,Ulsan,Cart_Abandoners,/blog/cvr-guide,Conversion,10693,267,215,18,8.37%,270471,1115982,61999,4.13,54.78%,33,19,18,9,4,49%,8,Control
2026-01-31,CMP-2026-001,Spring_CVR_Boost,Paid_Social,kakao_paid,Brand_Terms,Newsletter,Desktop,Seoul,VIP_Customers,/blog/cvr-guide,Consideration,8310,237,197,14,7.11%,272550,685020,48930,2.51,58.25%,25,16,14,5,4,54%,6,Variant_A
2026-02-01,CMP-2026-002,Remarketing_Checkout,Display,programmatic_cpm,Lookalike_1pct,Native_Article,Tablet,Daegu,New_Prospects,/pricing,Conversion,8727,279,239,21,8.79%,292113,1068081,50861,3.66,57.59%,35,25,21,7,7,59%,8,Variant_A
2026-02-02,CMP-2026-003,Search_Brand_Core,Direct,brand_direct,New_Visitors,Static_Image,Mobile,Gwangju,High_Intent,/promo/spring,Retention,9144,325,286,22,7.69%,345800,1161424,52792,3.36,47.23%,40,22,22,10,4,64%,8,Variant_A
2026-02-03,CMP-2026-004,Social_Video_Launch,Paid_Social,meta_paid,Retargeting_7d,Short_Video,Desktop,Gangwon,Price_Sensitive,/checkout,Awareness,9561,373,338,15,4.44%,447973,820845,54723,1.83,53.48%,38,22,21,13,3,15%,6,Variant_B
2026-02-04,CMP-2026-005,Email_Nurture_Series,Email,newsletter_email,Cart_Abandoners,Carousel,Tablet,Busan,Dormant_Users,/blog/cvr-guide,Consideration,9978,494,459,30,6.54%,542412,1699620,56654,3.13,52.24%,63,40,32,20,8,34%,7,Variant_B
2026-02-05,CMP-2026-006,Affiliate_Review_Push,Referral,review_blog_referral,Loyalty_Members,Text_Search,Mobile,Daejeon,Returning_Visitors,/pricing,Conversion,10395,478,373,26,6.97%,532970,1523210,58585,2.86,53.34%,46,32,28,9,9,25%,6,Variant_B
2026-02-06,CMP-2026-007,Display_Prospecting,Paid_Search,naver_cpc,Competitor_Terms,Newsletter,Desktop,Jeju,Cart_Abandoners,/promo/spring,Retention,10812,314,253,20,7.91%,433948,1210320,60516,2.79,53.73%,35,20,20,7,4,30%,7,Control
2026-02-07,CMP-2026-008,Loyalty_Winback,Organic_Search,google_organic,Nonbrand_Generic,Native_Article,Tablet,Gyeonggi,VIP_Customers,/checkout,Awareness,11229,241,200,10,5%,276909,624470,62447,2.26,59.5%,23,13,10,7,2,35%,6,Control
2026-02-08,CMP-2026-009,Product_Demo_Trial,Affiliate,partner_affiliate,Product_Viewers,Static_Image,Mobile,Incheon,New_Prospects,/blog/cvr-guide,Consideration,11646,291,249,16,6.43%,339306,1030048,64378,3.04,59.2%,33,21,16,10,4,40%,7,Control
2026-02-09,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,google_cpc,Promo_Seekers,Short_Video,Desktop,Ulsan,High_Intent,/pricing,Conversion,12063,476,419,39,9.31%,682108,2586051,66309,3.79,56.87%,68,48,39,18,13,45%,8,Variant_A
2026-02-10,CMP-2026-001,Spring_CVR_Boost,Organic_Search,google_organic,Brand_Terms,Carousel,Mobile,Seoul,Price_Sensitive,/pricing,Consideration,9680,310,281,18,6.41%,372000,958320,53240,2.58,49.03%,33,18,19,7,3,50%,6,Variant_A
2026-02-11,CMP-2026-002,Remarketing_Checkout,Affiliate,partner_affiliate,Lookalike_1pct,Text_Search,Desktop,Daegu,Dormant_Users,/promo/spring,Conversion,10097,358,333,32,9.61%,435686,1765472,55171,4.05,46.25%,51,32,32,10,7,69%,8,Variant_A
2026-02-12,CMP-2026-003,Search_Brand_Core,Paid_Search,google_cpc,New_Visitors,Product_Feed,Tablet,Gwangju,Returning_Visitors,/checkout,Retention,10514,526,410,36,8.78%,780584,2055672,57102,2.63,49.11%,61,39,36,14,10,60%,7,Variant_B
2026-02-13,CMP-2026-004,Social_Video_Launch,Paid_Social,kakao_paid,Retargeting_7d,Newsletter,Mobile,Gangwon,Cart_Abandoners,/blog/cvr-guide,Awareness,10931,465,374,22,5.88%,637515,1298726,59033,2.04,54.87%,47,33,22,15,7,65%,6,Variant_B
2026-02-14,CMP-2026-005,Email_Nurture_Series,Display,programmatic_cpm,Cart_Abandoners,Native_Article,Desktop,Busan,VIP_Customers,/pricing,Consideration,11348,522,433,23,5.31%,661896,1402172,60964,2.12,57.37%,54,28,25,19,4,16%,6,Variant_B
2026-02-15,CMP-2026-006,Affiliate_Review_Push,Direct,brand_direct,Loyalty_Members,Short_Video,Tablet,Daejeon,New_Prospects,/promo/spring,Conversion,11765,212,181,13,7.18%,272420,817635,62895,3,56.45%,22,13,13,4,3,21%,6,Control
2026-02-16,CMP-2026-007,Display_Prospecting,Paid_Social,meta_paid,Competitor_Terms,Carousel,Mobile,Jeju,High_Intent,/checkout,Retention,12182,262,231,14,6.06%,372564,907564,64826,2.44,59.72%,28,18,16,7,4,26%,6,Control
2026-02-17,CMP-2026-008,Loyalty_Winback,Email,newsletter_email,Nonbrand_Generic,Text_Search,Desktop,Gyeonggi,Price_Sensitive,/blog/cvr-guide,Awareness,12599,403,365,24,6.58%,531557,1602168,66757,3.01,60.69%,47,33,27,12,8,31%,6,Control
2026-02-18,CMP-2026-009,Product_Demo_Trial,Referral,review_blog_referral,Product_Viewers,Product_Feed,Tablet,Incheon,Dormant_Users,/pricing,Consideration,13016,371,345,20,5.8%,495656,1373760,68688,2.77,49.88%,43,22,20,13,4,50%,6,Variant_A
2026-02-19,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,naver_cpc,Promo_Seekers,Newsletter,Mobile,Ulsan,Returning_Visitors,/promo/spring,Conversion,13433,578,451,37,8.2%,926534,2612903,70619,2.82,48.22%,69,40,37,20,9,41%,7,Variant_A
2026-02-20,CMP-2026-001,Spring_CVR_Boost,Email,newsletter_email,Brand_Terms,Native_Article,Tablet,Seoul,Cart_Abandoners,/promo/spring,Conversion,11050,470,378,36,9.52%,643900,2071800,57550,3.22,48.07%,56,36,36,9,10,46%,8,Variant_A
2026-02-21,CMP-2026-002,Remarketing_Checkout,Referral,review_blog_referral,Lookalike_1pct,Static_Image,Mobile,Daegu,VIP_Customers,/checkout,Retention,11467,447,371,26,7.01%,235569,1546506,59481,6.56,53.29%,48,34,26,11,9,51%,7,Variant_B
2026-02-22,CMP-2026-003,Search_Brand_Core,Paid_Search,naver_cpc,New_Visitors,Short_Video,Desktop,Gwangju,New_Prospects,/blog/cvr-guide,Awareness,11884,636,544,38,6.99%,504984,2333656,61412,4.62,55.01%,73,38,38,18,7,56%,7,Variant_B
2026-02-23,CMP-2026-004,Social_Video_Launch,Organic_Search,google_organic,Retargeting_7d,Carousel,Tablet,Gangwon,High_Intent,/pricing,Consideration,12301,566,498,35,7.03%,317526,2217005,63343,6.98,56.66%,68,39,37,19,8,61%,7,Variant_B
2026-02-24,CMP-2026-005,Email_Nurture_Series,Affiliate,partner_affiliate,Cart_Abandoners,Product_Feed,Mobile,Busan,Price_Sensitive,/promo/spring,Conversion,12718,229,207,19,9.18%,132362,1240206,65274,9.37,55.35%,34,22,19,9,5,12%,8,Control
2026-02-25,CMP-2026-006,Affiliate_Review_Push,Paid_Search,google_cpc,Loyalty_Members,Newsletter,Desktop,Daejeon,Dormant_Users,/checkout,Retention,13135,427,397,28,7.05%,360815,1881740,67205,5.22,60.03%,50,35,28,10,9,31%,6,Control
2026-02-26,CMP-2026-007,Display_Prospecting,Paid_Social,kakao_paid,Competitor_Terms,Native_Article,Tablet,Jeju,Returning_Visitors,/blog/cvr-guide,Awareness,13552,339,264,11,4.17%,248148,760496,69136,3.06,52.16%,27,14,15,8,2,22%,7,Control
2026-02-27,CMP-2026-008,Loyalty_Winback,Display,programmatic_cpm,Nonbrand_Generic,Static_Image,Mobile,Gyeonggi,Cart_Abandoners,/pricing,Consideration,13969,398,320,16,5%,250342,1137072,71067,4.54,52.7%,37,21,20,11,4,27%,7,Variant_A
2026-02-28,CMP-2026-009,Product_Demo_Trial,Direct,brand_direct,Product_Viewers,Short_Video,Desktop,Incheon,VIP_Customers,/promo/spring,Conversion,14386,460,382,30,7.85%,297160,2189940,72998,7.37,50.41%,55,35,30,15,8,32%,8,Variant_A
2026-03-01,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,meta_paid,Promo_Seekers,Carousel,Tablet,Ulsan,New_Prospects,/checkout,Retention,14803,526,450,31,6.89%,411858,2322799,74929,5.64,53.45%,62,43,34,20,10,37%,7,Variant_A
2026-03-02,CMP-2026-001,Spring_CVR_Boost,Display,programmatic_cpm,Brand_Terms,Text_Search,Desktop,Seoul,High_Intent,/checkout,Conversion,12420,484,426,35,8.22%,329120,2165100,61860,6.58,53.29%,58,35,35,10,6,42%,8,Variant_B
2026-03-03,CMP-2026-002,Remarketing_Checkout,Direct,brand_direct,Lookalike_1pct,Product_Feed,Tablet,Daegu,Price_Sensitive,/blog/cvr-guide,Retention,12837,546,494,36,7.29%,380562,2296476,63791,6.03,56.29%,65,38,36,14,8,47%,7,Variant_B
2026-03-04,CMP-2026-003,Search_Brand_Core,Paid_Social,meta_paid,New_Visitors,Newsletter,Mobile,Gwangju,Dormant_Users,/pricing,Awareness,13254,610,567,30,5.29%,508740,1971660,65722,3.88,60.79%,66,42,32,19,8,66%,6,Variant_B
2026-03-05,CMP-2026-004,Social_Video_Launch,Email,newsletter_email,Retargeting_7d,Static_Image,Desktop,Gangwon,Returning_Visitors,/promo/spring,Consideration,13671,342,267,23,8.61%,250002,1556019,67653,6.22,57.85%,41,29,23,10,8,57%,8,Control
2026-03-06,CMP-2026-005,Email_Nurture_Series,Referral,review_blog_referral,Cart_Abandoners,Short_Video,Tablet,Busan,Cart_Abandoners,/checkout,Conversion,14088,303,244,21,8.61%,226644,1461264,69584,6.45,45.95%,39,21,21,11,4,62%,8,Control
2026-03-07,CMP-2026-006,Affiliate_Review_Push,Paid_Search,naver_cpc,Loyalty_Members,Carousel,Mobile,Daejeon,VIP_Customers,/blog/cvr-guide,Retention,14505,522,433,37,8.55%,529830,2646055,71515,4.99,47.73%,61,37,37,10,9,13%,8,Control
2026-03-08,CMP-2026-007,Display_Prospecting,Organic_Search,google_organic,Competitor_Terms,Text_Search,Desktop,Jeju,New_Prospects,/pricing,Awareness,14922,425,363,16,4.41%,332350,1175136,73446,3.54,55.23%,38,24,16,11,4,18%,7,Variant_A
2026-03-09,CMP-2026-008,Loyalty_Winback,Affiliate,partner_affiliate,Nonbrand_Generic,Product_Feed,Tablet,Gyeonggi,High_Intent,/promo/spring,Consideration,15339,491,432,25,5.79%,392309,1884425,75377,4.8,54.99%,52,36,25,15,8,23%,7,Variant_A
2026-03-10,CMP-2026-009,Product_Demo_Trial,Paid_Search,google_cpc,Product_Viewers,Newsletter,Mobile,Incheon,Price_Sensitive,/checkout,Conversion,15756,733,663,51,7.69%,781378,3942708,77308,5.05,54.03%,95,51,51,26,9,28%,8,Variant_A
2026-03-11,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,kakao_paid,Promo_Seekers,Native_Article,Desktop,Ulsan,Dormant_Users,/blog/cvr-guide,Retention,16173,631,587,41,6.98%,601343,3248799,79239,5.4,56.73%,83,48,41,26,9,47%,7,Variant_B
2026-03-12,CMP-2026-001,Spring_CVR_Boost,Affiliate,partner_affiliate,Brand_Terms,Static_Image,Mobile,Seoul,Returning_Visitors,/blog/cvr-guide,Conversion,13790,586,457,36,7.88%,498100,2382120,66170,4.78,57.17%,61,39,36,11,10,38%,8,Variant_B
2026-03-13,CMP-2026-002,Remarketing_Checkout,Paid_Search,google_cpc,Lookalike_1pct,Short_Video,Desktop,Daegu,Cart_Abandoners,/pricing,Retention,14207,810,652,53,8.13%,904770,3609353,68101,3.99,58.52%,92,64,53,19,17,43%,8,Variant_B
2026-03-14,CMP-2026-003,Search_Brand_Core,Paid_Social,kakao_paid,New_Visitors,Text_Search,Tablet,Gwangju,VIP_Customers,/promo/spring,Awareness,14624,263,218,12,5.5%,264052,840384,70032,3.18,50.3%,26,14,12,7,2,48%,7,Control
2026-03-15,CMP-2026-004,Social_Video_Launch,Display,programmatic_cpm,Retargeting_7d,Product_Feed,Mobile,Gangwon,New_Prospects,/checkout,Consideration,15041,323,276,17,6.16%,291023,1223371,71963,4.2,51.08%,36,21,17,11,4,53%,7,Control
2026-03-16,CMP-2026-005,Email_Nurture_Series,Direct,brand_direct,Cart_Abandoners,Newsletter,Desktop,Busan,High_Intent,/blog/cvr-guide,Conversion,15458,386,340,30,8.82%,354348,2216820,73894,6.26,49.05%,54,35,30,15,8,58%,8,Control
2026-03-17,CMP-2026-006,Affiliate_Review_Push,Paid_Social,meta_paid,Loyalty_Members,Native_Article,Tablet,Daejeon,Price_Sensitive,/pricing,Awareness,15875,452,409,25,6.11%,476860,1895625,75825,3.98,54.55%,47,33,26,10,8,63%,7,Variant_A
2026-03-18,CMP-2026-007,Display_Prospecting,Email,newsletter_email,Competitor_Terms,Static_Image,Mobile,Jeju,Dormant_Users,/promo/spring,Consideration,16292,635,591,49,8.29%,604520,3810044,77756,6.3,53.19%,84,49,49,17,9,28%,8,Variant_A
2026-03-19,CMP-2026-008,Loyalty_Winback,Referral,review_blog_referral,Nonbrand_Generic,Short_Video,Desktop,Gyeonggi,Returning_Visitors,/checkout,Conversion,16709,593,463,33,7.13%,574617,2629671,79687,4.58,56.52%,62,36,35,16,8,19%,7,Variant_A
2026-03-20,CMP-2026-009,Product_Demo_Trial,Paid_Search,naver_cpc,Product_Viewers,Carousel,Tablet,Incheon,Cart_Abandoners,/blog/cvr-guide,Retention,17126,856,689,48,6.97%,1058016,3917664,81618,3.7,58.44%,94,60,48,27,13,24%,7,Variant_B
2026-03-21,CMP-2026-010,Weekend_Flash_Sale,Organic_Search,google_organic,Promo_Seekers,Text_Search,Mobile,Ulsan,VIP_Customers,/pricing,Awareness,17543,746,619,26,4.2%,748238,2172274,83549,2.9,64.02%,70,49,32,27,9,29%,5,Variant_B
2026-03-22,CMP-2026-001,Spring_CVR_Boost,Referral,review_blog_referral,Brand_Terms,Product_Feed,Tablet,Seoul,New_Prospects,/pricing,Retention,15160,697,596,39,6.54%,710940,2748720,70480,3.87,48.84%,72,39,39,14,7,34%,7,Variant_B
2026-03-23,CMP-2026-002,Remarketing_Checkout,Paid_Search,naver_cpc,Lookalike_1pct,Native_Article,Mobile,Daegu,High_Intent,/promo/spring,Awareness,15577,452,398,22,5.53%,581724,1593042,72411,2.74,51.96%,45,26,25,12,5,39%,6,Control
2026-03-24,CMP-2026-003,Search_Brand_Core,Organic_Search,google_organic,New_Visitors,Static_Image,Desktop,Gwangju,Price_Sensitive,/checkout,Consideration,15994,344,311,20,6.43%,362576,1486840,74342,4.1,52.4%,40,26,21,11,6,44%,7,Control
2026-03-25,CMP-2026-004,Social_Video_Launch,Affiliate,partner_affiliate,Retargeting_7d,Short_Video,Tablet,Gangwon,Dormant_Users,/blog/cvr-guide,Conversion,16411,410,381,33,8.66%,439110,2517009,76273,5.73,50.98%,58,41,33,15,11,63%,8,Control
2026-03-26,CMP-2026-005,Email_Nurture_Series,Paid_Search,google_cpc,Cart_Abandoners,Carousel,Mobile,Busan,Returning_Visitors,/pricing,Retention,16828,665,519,41,7.9%,889770,3206364,78204,3.6,53.74%,78,41,41,23,7,54%,8,Variant_A
2026-03-27,CMP-2026-006,Affiliate_Review_Push,Paid_Social,kakao_paid,Loyalty_Members,Text_Search,Desktop,Daejeon,Cart_Abandoners,/promo/spring,Awareness,17245,552,444,28,6.31%,676200,2243780,80135,3.32,57.67%,52,30,28,11,6,59%,7,Variant_A
2026-03-28,CMP-2026-007,Display_Prospecting,Display,programmatic_cpm,Competitor_Terms,Product_Feed,Tablet,Jeju,VIP_Customers,/checkout,Consideration,17662,627,520,36,6.92%,703494,2954376,82066,4.2,58.51%,67,43,36,15,10,64%,7,Variant_A
2026-03-29,CMP-2026-008,Loyalty_Winback,Direct,brand_direct,Nonbrand_Generic,Newsletter,Mobile,Gyeonggi,New_Prospects,/blog/cvr-guide,Conversion,18079,705,603,52,8.62%,802995,4367844,83997,5.44,57.83%,90,63,52,21,17,15%,8,Variant_B
2026-03-30,CMP-2026-009,Product_Demo_Trial,Paid_Social,meta_paid,Product_Viewers,Native_Article,Desktop,Incheon,High_Intent,/pricing,Retention,18496,786,692,44,6.36%,1002936,3780832,85928,3.77,49.1%,90,47,48,27,8,20%,7,Variant_B
2026-03-31,CMP-2026-010,Weekend_Flash_Sale,Email,newsletter_email,Promo_Seekers,Static_Image,Tablet,Ulsan,Price_Sensitive,/promo/spring,Awareness,18913,1002,907,52,5.73%,1175346,4568668,87859,3.89,51.68%,116,67,68,40,12,25%,7,Variant_B
2026-04-01,CMP-2026-001,Spring_CVR_Boost,Direct,brand_direct,Brand_Terms,Carousel,Desktop,Seoul,Dormant_Users,/promo/spring,Retention,16530,298,277,19,6.86%,354620,1421010,74790,4.01,51.8%,34,22,19,7,5,44%,7,Control
2026-04-02,CMP-2026-002,Remarketing_Checkout,Paid_Social,meta_paid,Lookalike_1pct,Text_Search,Tablet,Daegu,Returning_Visitors,/checkout,Awareness,16947,364,284,14,4.93%,483028,1074094,76721,2.22,56.2%,30,21,14,8,5,35%,6,Control
2026-04-03,CMP-2026-003,Search_Brand_Core,Email,newsletter_email,New_Visitors,Product_Feed,Mobile,Gwangju,Cart_Abandoners,/blog/cvr-guide,Consideration,17364,556,448,31,6.92%,680544,2438212,78652,3.58,55.11%,59,31,31,15,6,40%,7,Control
2026-04-04,CMP-2026-004,Social_Video_Launch,Referral,review_blog_referral,Retargeting_7d,Newsletter,Desktop,Gangwon,VIP_Customers,/pricing,Conversion,17781,507,421,35,8.31%,629187,2820405,80583,4.48,54.87%,63,37,35,16,8,45%,8,Variant_A
2026-04-05,CMP-2026-005,Email_Nurture_Series,Paid_Search,naver_cpc,Cart_Abandoners,Native_Article,Tablet,Busan,New_Prospects,/promo/spring,Retention,18198,783,669,54,8.07%,1180764,4455756,82514,3.77,56.9%,101,65,54,29,15,50%,8,Variant_A
2026-04-06,CMP-2026-006,Affiliate_Review_Push,Organic_Search,google_organic,Loyalty_Members,Static_Image,Mobile,Daejeon,High_Intent,/checkout,Awareness,18615,661,582,31,5.33%,842775,2617795,84445,3.11,62.44%,63,44,44,14,10,55%,6,Variant_A
2026-04-07,CMP-2026-007,Display_Prospecting,Affiliate,partner_affiliate,Competitor_Terms,Short_Video,Desktop,Jeju,Price_Sensitive,/blog/cvr-guide,Consideration,19032,742,672,52,7.74%,958664,4491552,86376,4.69,47.16%,92,52,52,19,9,60%,8,Variant_B
2026-04-08,CMP-2026-008,Loyalty_Winback,Paid_Search,google_cpc,Nonbrand_Generic,Carousel,Tablet,Gyeonggi,Dormant_Users,/pricing,Conversion,19449,1041,968,92,9.5%,1622919,8124244,88307,5.01,46.4%,153,92,92,33,21,79%,8,Variant_B
2026-04-09,CMP-2026-009,Product_Demo_Trial,Paid_Social,kakao_paid,Product_Viewers,Text_Search,Mobile,Incheon,Returning_Visitors,/promo/spring,Retention,19866,914,713,56,7.85%,1321644,5053328,90238,3.82,50.41%,103,66,56,28,16,16%,8,Variant_B
